		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
011101111    1    2    2    0    0    1    0    1  4.869301 0.771450 SUCCESS  72
011111111    1    0    0    3    1    1    1    0  6.563969 0.584321 SUCCESS  73
100000000    0    0    1    1    0    2    0    2  6.064175 0.640043 SUCCESS  74
100010000    1    2    0    1    0    0    0    3  8.258638 0.408622 SUCCESS  75
100100000    3    0    1    0    0    1    1    2  7.063764 0.529769 SUCCESS  76
100101000    1    1    2    0    0    0    3    0  8.258638 0.408622 SUCCESS  77
100110000    1    2    1    1    3    1    0    4 11.257406 0.187536 SUCCESS  78
100111000    0    3    0    1    1    0    3    2  9.758022 0.282422 SUCCESS  79
101000000    1    0    0    0    2    3    2    0  8.758432 0.363082 SUCCESS  80
101000100    1    1    1    2    1    2    1    0  2.479554 0.962678 SUCCESS  81
101001000    3    0    1    0    1    0    2    2  7.563559 0.477220 SUCCESS  82
101001100    1    2    1    1    1    1    0    2  2.479554 0.962678 SUCCESS  83
101010000    0    2    3    1    2    0    2    0  8.063354 0.427306 SUCCESS  84
101010100    0    0    2    2    2    0    2    0  7.063764 0.529769 SUCCESS  85
101011000    1    2    1    0    1    0    1    0  4.369506 0.822342 SUCCESS  86
101011100    2    0    1    0    2    1    0    2  5.369096 0.717496 SUCCESS  87
101100000    2    0    1    1    0    1    1    1  3.174633 0.922925 SUCCESS  88
101100100    0    0    0    3    0    1    0    2  9.453511 0.305493 SUCCESS  89
101101000    1    0    1    2    3    3    0    0  9.758022 0.282422 SUCCESS  90
101101100    1    3    1    0    1    3    1    1  6.868480 0.550887 SUCCESS  91
101110000    1    2    3    1    2    1    1    1  3.978938 0.859019 SUCCESS  92
101110100    2    1    0    1    1    3    2    0  6.368685 0.606007 SUCCESS  93
101111000    4    1    1    2    1    1    3    0 11.257406 0.187536 SUCCESS  94
101111100    0    2    1    1    0    3    1    2  6.368685 0.606007 SUCCESS  95
110000000    1    0    1    1    0    0    0    1  5.064585 0.750651 SUCCESS  96
110000010    2    1    1    1    1    0    0    3  5.868891 0.661915 SUCCESS  97
110000100    0    0    1    2    2    2    1    2  4.674017 0.791781 SUCCESS  98
110001000    2    3    1    1    0    0    1    1  5.868891 0.661915 SUCCESS  99
110001010    0    1    0    2    1    2    2    1  4.174222 0.841072 SUCCESS 100
110010000    1    0    1    2    0    3    0    2  7.563559 0.477220 SUCCESS 101
110010010    1    0    0    1    1    1    1    2  3.174633 0.922925 SUCCESS 102
110010100    0    1    3    0    0    0    1    2  8.258638 0.408622 SUCCESS 103
110011000    0    1    0    2    3    0    0    2  8.758432 0.363082 SUCCESS 104
110011010    1    0    1    2    1    1    1    1  1.979759 0.981626 SUCCESS 105
110100000    3    0    0    0    3    2    0    1 10.952895 0.204383 SUCCESS 106
110100010    2    1    0    1    1    3    1    1  4.674017 0.791781 SUCCESS 107
110100100    1    1    1    0    1    0    1    1  2.674838 0.953079 SUCCESS 108
110101000    2    5    2    2    3    0    1    0 19.035669 0.014670 SUCCESS 109
110101010    0    0    2    1    2    0    2    0  6.563969 0.584321 SUCCESS 110
110101100    2    2    2    1    1    0    1    1  2.979349 0.935647 SUCCESS 111
110110000    2    2    3    2    1    1    2    1  4.978528 0.759869 SUCCESS 112
110110010    0    1    0    3    0    1    0    1  7.758843 0.457375 SUCCESS 113
110110100    1    0    0    1    2    1    1    0  4.369506 0.822342 SUCCESS 114
110111000    0    2    1    1    0    1    1    3  5.868891 0.661915 SUCCESS 115
110111010    2    1    0    1    1    2    1    0  3.674427 0.885239 SUCCESS 116
110111100    4    1    2    1    2    1    1    1  7.868069 0.446463 SUCCESS 117
111000000    1    1    0    2    1    4    1    1  8.563148 0.380476 SUCCESS 118
111000010    0    1    1    0    1    0    2    2  4.869301 0.771450 SUCCESS 119
111000100    2    2    0    0    0    0    1    1  6.064175 0.640043 SUCCESS 120
111000110    1    2    1    0    2    1    2    2  3.479143 0.900802 SUCCESS 121
111001000    2    0    3    1    0    1    2    0  7.563559 0.477220 SUCCESS 122
111001010    0    2    2    0    1    0    2    3  8.063354 0.427306 SUCCESS 123
111001100    1    1    0    1    2    3    1    1  4.674017 0.791781 SUCCESS 124
111010000    1    1    3    0    2    2    1    1  5.173812 0.738848 SUCCESS 125
111010010    2    1    0    0    0    2    2    2  5.868891 0.661915 SUCCESS 126
111010100    0    2    1    5    2    1    2    1 15.146537 0.056358 SUCCESS 127
111010110    1    0    3    3    1    1    0    1  8.063354 0.427306 SUCCESS 128
111011000    3    1    6    1    0    1    1    1 23.619879 0.002653 FAILURE 129
111011010    1    1    0    1    2    0    1    2  3.674427 0.885239 SUCCESS 130
111011100    0    1    2    4    1    0    2    1 10.257817 0.247395 SUCCESS 131
111100000    1    1    2    0    0    3    1    2  6.368685 0.606007 SUCCESS 132
111100010    2    2    0    2    1    1    0    0  5.369096 0.717496 SUCCESS 133
111100100    0    0    1    0    0    1    1    0  6.259459 0.618194 SUCCESS 134
111100110    1    1    0    1    0    3    1    1  5.369096 0.717496 SUCCESS 135
111101000    1    1    2    1    1    2    1    1  1.284680 0.995733 SUCCESS 136
111101010    1    1    1    5    3    1    3    0 19.035669 0.014670 SUCCESS 137
111101100    1    1    3    1    1    1    2    0  4.674017 0.791781 SUCCESS 138
111101110    2    2    1    2    1    1    3    1  4.478733 0.811557 SUCCESS 139
111110000    2    1    2    0    1    2    1    3  5.673606 0.683739 SUCCESS 140
111110010    0    1    2    0    0    1    2    1  4.869301 0.771450 SUCCESS 141
111110100    1    0    0    4    1    2    3    1 12.452280 0.132136 SUCCESS 142
111110110    0    2    1    2    2    0    3    1  6.868480 0.550887 SUCCESS 143
111111000    2    0    1    0    1    3    0    2  7.563559 0.477220 SUCCESS 144
111111010    2    0    1    5    0    2    2    2 16.841206 0.031806 SUCCESS 145
111111100    0    0    1    0    1    2    1    1  4.369506 0.822342 SUCCESS 146
111111110    1    0    0    3    1    1    1    0  6.563969 0.584321 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    0    1    1    0    2    0    2  4.869301 0.771450 SUCCESS   0
000000011    1    0    1    1    0    1    0    1  3.869712 0.868683 SUCCESS   1
000000101    2    2    0    3    1    2    0    1  6.868480 0.550887 SUCCESS   2
000000111    1    0    0    1    0    0    0    1  6.259459 0.618194 SUCCESS   3
000001001    0    0    1    0    1    1    2    0  5.564380 0.695897 SUCCESS   4
000001011    2    3    1    1    0    0    0    1  7.063764 0.529769 SUCCESS   5
000001101    1    1    2    0    0    0    2    2  5.369096 0.717496 SUCCESS   6
000001111    1    0    1    0    0    0    0    0  7.454332 0.488498 SUCCESS   7
000010001    1    0    1    0    2    1    1    0  4.369506 0.822342 SUCCESS   8
000010011    1    0    0    1    1    0    1    0  5.064585 0.750651 SUCCESS   9
000010101    1    2    0    3    2    3    1    0  9.062943 0.337014 SUCCESS  10
000010111    1    2    0    2    1    2    2    1  3.479143 0.900802 SUCCESS  11
000011001    1    3    1    0    4    2    1    3 13.951664 0.083034 SUCCESS  12
000011011    1    2    0    1    0    2    1    1  3.674427 0.885239 SUCCESS  13
000011101    3    0    1    3    1    2    2    2  8.367864 0.398385 SUCCESS  14
000011111    1    0    1    0    0    0    1    1  5.064585 0.750651 SUCCESS  15
000100011    1    1    1    0    4    0    1    0 10.453101 0.234652 SUCCESS  16
000100101    0    0    4    1    1    1    1    1  9.258227 0.320983 SUCCESS  17
000100111    1    0    1    1    1    1    0    0  3.869712 0.868683 SUCCESS  18
000101001    1    2    1    0    4    0    0    2 11.452690 0.177344 SUCCESS  19
000101011    1    3    0    4    3    1    2    0 15.146537 0.056358 SUCCESS  20
000101101    1    3    0    1    0    1    1    0  6.563969 0.584321 SUCCESS  21
000101111    1    2    1    3    0    2    2    0  6.868480 0.550887 SUCCESS  22
000110011    2    3    0    0    1    1    1    3  8.563148 0.380476 SUCCESS  23
000110101    2    1    2    0    2    2    2    0  5.173812 0.738848 SUCCESS  24
000110111    1    5    3    0    0    3    1    0 21.425416 0.006099 FAILURE  25
000111001    0    1    0    2    0    0    1    1  5.564380 0.695897 SUCCESS  26
000111011    3    0    3    3    1    2    1    3 12.756790 0.120496 SUCCESS  27
000111101    2    1    1    2    2    1    3    1  4.478733 0.811557 SUCCESS  28
000111111    2    0    0    2    1    1    0    1  4.869301 0.771450 SUCCESS  29
001000011    1    0    1    1    2    1    2    4  9.062943 0.337014 SUCCESS  30
001000101    3    1    2    2    2    1    3    1  7.172991 0.518089 SUCCESS  31
001000111    0    1    1    2    1    0    1    1  3.174633 0.922925 SUCCESS  32
001001011    0    1    2    3    0    0    1    1  7.063764 0.529769 SUCCESS  33
001001101    1    0    0    3    0    2    1    0  8.258638 0.408622 SUCCESS  34
001001111    0    0    0    0    2    1    1    0  6.759253 0.562816 SUCCESS  35
001010011    0    2    0    0    1    0    1    2  6.064175 0.640043 SUCCESS  36
001010101    3    1    0    3    1    2    1    2  7.868069 0.446463 SUCCESS  37
001010111    1    3    0    3    2    1    2    1  7.868069 0.446463 SUCCESS  38
001011011    0    2    0    1    0    1    1    1  4.369506 0.822342 SUCCESS  39
001011101    1    1    1    1    1    0    2    0  3.174633 0.922925 SUCCESS  40
001011111    0    2    1    3    0    2    2    0  8.063354 0.427306 SUCCESS  41
001100101    1    2    0    1    2    1    0    1  3.674427 0.885239 SUCCESS  42
001100111    1    2    3    1    1    0    1    2  5.173812 0.738848 SUCCESS  43
001101011    1    0    2    0    2    0    1    0  6.064175 0.640043 SUCCESS  44
001101101    0    1    1    2    0    2    1    3  6.368685 0.606007 SUCCESS  45
001101111    1    2    3    0    0    2    0    0  8.758432 0.363082 SUCCESS  46
001110101    0    2    0    2    2    3    2    2  7.868069 0.446463 SUCCESS  47
001110111    2    1    3    2    0    0    0    3 10.257817 0.247395 SUCCESS  48
001111011    2    1    0    1    2    1    1    1  2.479554 0.962678 SUCCESS  49
001111101    1    2    2    0    1    1    0    3  6.368685 0.606007 SUCCESS  50
001111111    3    1    0    1    1    1    0    2  5.868891 0.661915 SUCCESS  51
010000011    1    3    1    1    1    0    0    1  5.369096 0.717496 SUCCESS  52
010000111    2    0    4    3    2    2    3    2 15.451048 0.050946 SUCCESS  53
010001011    0    0    2    1    0    0    3    0  9.453511 0.305493 SUCCESS  54
010001111    2    1    1    1    1    1    3    0  4.674017 0.791781 SUCCESS  55
010010011    3    1    0    2    1    2    0    0  7.563559 0.477220 SUCCESS  56
010010111    1    1    1    1    0    0    0    0  5.064585 0.750651 SUCCESS  57
010011011    1    0    0    2    0    2    0    1  6.064175 0.640043 SUCCESS  58
010011111    0    1    0    0    2    1    0    1  5.564380 0.695897 SUCCESS  59
010100011    1    2    2    0    2    2    3    1  6.173401 0.627815 SUCCESS  60
010100111    0    0    1    1    2    2    2    2  4.674017 0.791781 SUCCESS  61
010101011    3    1    0    1    2    2    0    4 12.952074 0.113509 SUCCESS  62
010101111    3    1    0    4    2    2    3    3 17.145716 0.028627 SUCCESS  63
010110011    1    1    1    2    0    1    2    0  3.674427 0.885239 SUCCESS  64
010110111    0    2    1    2    1    0    1    1  3.674427 0.885239 SUCCESS  65
010111011    3    2    0    0    0    1    0    1  8.258638 0.408622 SUCCESS  66
010111111    0    0    1    1    1    1    3    1  5.369096 0.717496 SUCCESS  67
011000111    1    1    1    2    2    2    0    1  2.979349 0.935647 SUCCESS  68
011001111    1    1    4    0    1    1    1    2  8.563148 0.380476 SUCCESS  69
011010111    1    0    2    1    1    0    0    2  4.869301 0.771450 SUCCESS  70
011011111    0    5    1    0    0    2    0    2 18.231363 0.019557 SUCCESS  71
011101111    3    1    2    2    0    0    0    1  7.563559 0.477220 SUCCESS  72
011111111    3    1    2    1    2    2    0    1  5.673606 0.683739 SUCCESS  73
100000000    1    0    1    1    0    2    0    2  4.869301 0.771450 SUCCESS  74
100010000    1    0    1    0    0    2    0    2  6.064175 0.640043 SUCCESS  75
100100000    3    2    1    2    2    2    0    0  7.368275 0.497469 SUCCESS  76
100101000    2    2    4    0    2    1    1    0 10.757611 0.215815 SUCCESS  77
100110000    2    2    0    1    0    0    0    2  6.563969 0.584321 SUCCESS  78
100111000    1    0    0    0    2    1    2    0  6.064175 0.640043 SUCCESS  79
101000000    1    1    0    2    1    2    1    1  2.479554 0.962678 SUCCESS  80
101000100    0    1    3    0    4    4    0    1 19.730747 0.011404 SUCCESS  81
101001000    1    2    1    2    1    1    0    5 14.646743 0.066389 SUCCESS  82
101001100    1    1    2    1    1    2    2    1  1.784475 0.986921 SUCCESS  83
101010000    1    0    1    3    1    2    4    1 11.257406 0.187536 SUCCESS  84
101010100    0    2    1    2    2    1    1    0  4.174222 0.841072 SUCCESS  85
101011000    0    1    0    1    1    2    3    1  5.868891 0.661915 SUCCESS  86
101011100    2    2    1    1    1    0    1    3  5.173812 0.738848 SUCCESS  87
101100000    1    0    0    1    1    1    0    1  3.869712 0.868683 SUCCESS  88
101100100    1    0    1    1    2    1    0    0  4.369506 0.822342 SUCCESS  89
101101000    1    0    1    1    2    1    0    1  3.174633 0.922925 SUCCESS  90
101101100    1    0    0    1    1    3    1    0  6.563969 0.584321 SUCCESS  91
101110000    0    0    3    2    1    3    0    0 10.952895 0.204383 SUCCESS  92
101110100    0    4    0    3    1    1    1    2 12.452280 0.132136 SUCCESS  93
101111000    2    1    0    3    2    1    2    1  5.673606 0.683739 SUCCESS  94
101111100    0    1    2    4    0    2    2    0 11.952485 0.153337 SUCCESS  95
110000000    2    0    0    1    0    0    1    2  6.064175 0.640043 SUCCESS  96
110000010    0    3    2    1    2    1    0    0  7.563559 0.477220 SUCCESS  97
110000100    2    0    0    2    0    0    2    1  6.563969 0.584321 SUCCESS  98
110001000    0    0    0    0    1    2    1    1  5.564380 0.695897 SUCCESS  99
110001010    1    2    1    4    0    1    2    2  9.562738 0.297066 SUCCESS 100
110010000    1    1    2    2    1    2    1    1  1.784475 0.986921 SUCCESS 101
110010010    3    2    1    3    2    0    2    1  8.367864 0.398385 SUCCESS 102
110010100    0    1    1    1    1    0    1    3  5.369096 0.717496 SUCCESS 103
110011000    1    4    0    0    0    0    0    1 12.842848 0.117372 SUCCESS 104
110011010    1    3    0    0    1    1    4    1 11.952485 0.153337 SUCCESS 105
110100000    0    2    0    0    1    1    2    1  4.869301 0.771450 SUCCESS 106
110100010    1    0    3    0    4    0    1    2 13.647153 0.091439 SUCCESS 107
110100100    1    0    1    1    0    0    0    1  5.064585 0.750651 SUCCESS 108
110101000    2    1    1    1    6    2    4    0 28.508600 0.000387 FAILURE 109
110101010    0    2    1    0    3    1    0    2  7.563559 0.477220 SUCCESS 110
110101100    0    0    0    2    2    1    1    1  4.869301 0.771450 SUCCESS 111
110110000    1    0    0    1    2    0    1    1  4.369506 0.822342 SUCCESS 112
110110010    0    1    0    0    0    2    1    0  6.759253 0.562816 SUCCESS 113
110110100    0    0    2    1    1    1    0    2  4.869301 0.771450 SUCCESS 114
